;SIMULATION DB;12/4/2019;;;1. Lampost;1. Lampost;2. Lighting ;2. Lighting ;3. Energy ;3. Energy ;3. Energy ;4. Public Safety ;4. Public Safety ;4. Public Safety ;5. Environmental Monitoring ;5. Environmental Monitoring ;5. Environmental Monitoring ;6. Signage ;7. Movement Monitoring ;7. Movement Monitoring ;8. Connectivity ;8. Connectivity ;8. Connectivity ;;
10;1. Capex;1.91 Source 1 - Short;Item 1;AlphaNum;https://www.alibaba.com/;https://www.euractiv.com;https://i-solar-street-light.en.made-in-china.com;https://www.telensa.com/;https://www.amazon.com/;https://www.alibaba.com/;https://www.alibaba.com/;https://made-in-china.com/;https://www.commgear.com/;https://www.amazon.com/;https://www.wunderground.com/;https://www.reichelt.com/;https://www.alibaba.com/;https://www.alibaba.com/;https://www.englishlampposts.co.uk/;https://www.alibaba.com/;https://www.alibaba.com/;http://www.l-com.com/;https://www.alibaba.com/;;
11;1. Capex;1.92 Source 2 - Short;Item 1;AlphaNum;https://futaomonopole.en.made-in-china.com;https://flexsolsolutions.com/;https://www.alibaba.com/;https://www.citintelly.com/;http://store.evsolutions.com/;http://www.altenergy.org/;https://made-in-china.com/;https://www.alibaba.com/;https://www.cisco.com;https://www.ebay.com/;https://www.niwa.co.nz;https://www.sparkfun.com/;https://wnksensor.en.made-in-china.com/;https://cnyeroo.en.made-in-china.com/;https://www.alibaba.com/;https://www.made-in-china.com/;https://www.alibaba.com/;https://www.amazon.com/;https://arronna.en.made-in-china.com/;;
12;1. Capex;1.93 Source 3 - Short;Item 1;AlphaNum;https://www.theledstore.co/;https://www.huffpost.com;https://www.alibaba.com/;http://qulon.pro;0;https://www.alibaba.com/;https://mcabattery.en.made-in-china.com/;https://www.ubitech.fr/;https://www.neobits.com/;https://www.ebay.com/;https://www.kele.com/;http://www.crysound.com/;0;0;0;http://www.rosim-its.com;https://www.alibaba.com/;https://eu.mouser.com/;https://www.alibaba.com/;;
13;1. Capex;1.1 Name;Item 2;AlphaNum;0;0;Electrical systems;Street lighting control boxes;Charging Connector ;Intelligent remote control;Remote telemetry system;DVR (Digital Video Recorder);0;0;Software tool;Software tool;Software tool;0;Software tool;Wireless Data Collector/Gateway;0;0;0;;
14;1. Capex;1.2 Description;Item 2;AlphaNum;0;0;Service cabinets, covering energy supply and metering facilities.;"which can be mounted on electric lamp post
";Connectors and plug in for cars;Smart Devices solutions allows to do a remote control;"An automated communications process by which measurements and other data are collected at remote or inaccessible points and transmitted to receiving equipment for monitoring.
";Network Video Recorder (NVR) - NVRs are responsible for video monitoring, event management, and storage.  ;0;0;Shows the measures and collects data. Data is accessible in real time and measurements can be consulted remotely.;Shows the measures and collects data. Data is accessible in real time and measurements can be consulted remotely.;Shows the measures and collects data. Data is accessible in real time and measurements can be consulted remotely.;0;A web hosted control system which provides monitoring, switching and dimming control. ;It is used to receive information from wireless parking lot sensor and transmit this information to user system;0;0;0;;
15;1. Capex;1.3 Unit;Item 2;AlphaNum;0;0;Per streetlight cable system;Per sensor;Per connector;Per remote control;Per telemetry system;Per recorder;0;0;Per software;Per software;Per software;0;Per software;Per gateway;0;0;0;;
16;1. Capex;1.4 Ratio # Units / Measure;Item 2;Num #;0;0;1;1;0;0;0;0;0;0;NA;NA;NA;0;NA;0;0;0;0;;
17;1. Capex;1.5 Cost / Unit - Min;Item 2;£;0;0;10;40;150;190;190;150;0;0;10 000;10 000;10 000;0;25 000;280;0;0;0;;
18;1. Capex;1.6 Cost / Unit - Max;Item 2;£;0;0;30;100;200;210;210;380;0;0;25 000;25 000;25 000;0;85 000;400;0;0;0;;
19;1. Capex;1.7 Source 1;Item 2;AlphaNum;0;0;https://www.made-in-china.com/productdirectory.do?word=led+street+light+transformer&subaction=hunt&style=b&mode=and&code=0&comProvince=nolimit&order=0&isOpenCorrection=1;"https://www.meterboxesdirect.co.uk/electric-meter-pole-top-box-360-252-140-mm.html
";"https://www.amazon.fr/dp/B00YT75GWW/ref=dp_cerb_1
";https://www.amazon.co.uk/TOP-MAX-Wireless-Compatible-Control-Anywhere/dp/B077YF8LV6/ref=pd_day0_hl_107_23?_encoding=UTF8&pd_rd_i=B077YF8LV6&pd_rd_r=0fac8156-1a50-11e9-bd3a-1b03e59c87b4&pd_rd_w=aAYT7&pd_rd_wg=ep0A4&pf_rd_p=b082d07b-aaea-4f40-9ff3-d27463f747d7&pf_rd_r=6XP6YREE1MVQP5JAYGD9&psc=1&refRID=6XP6YREE1MVQP5JAYGD9;https://www.amazon.co.uk/TOP-MAX-Wireless-Compatible-Control-Anywhere/dp/B077YF8LV6/ref=pd_day0_hl_107_23?_encoding=UTF8&pd_rd_i=B077YF8LV6&pd_rd_r=0fac8156-1a50-11e9-bd3a-1b03e59c87b4&pd_rd_w=aAYT7&pd_rd_wg=ep0A4&pf_rd_p=b082d07b-aaea-4f40-9ff3-d27463f747d7&pf_rd_r=6XP6YREE1MVQP5JAYGD9&psc=1&refRID=6XP6YREE1MVQP5JAYGD9;https://www.security-camera-warehouse.com/the-admiral-4-channel-nvr-adm4p4.php;0;0;"https://www.fr.paessler.com/prtg?utm_source=google&utm_medium=cpc&utm_campaign=ROW_FR_Search-nonBrand_broad_2&utm_adgroup=networking-softwares&utm_adnum=171032094950&utm_keyword=%2Bnetworking%20%2Bsoftwares&utm_device=c&utm_position=1t1&utm_campaignid=367571891&utm_adgroupid=26332991411&utm_targetid=kwd-28682313563&utm_customerid=&utm_location=9056139&gclid=EAIaIQobChMIq4u1qpi34AIV4hXTCh2X9QurEAAYASAAEgKuIfD_BwE
";https://www.fr.paessler.com/prtg?utm_source=google&utm_medium=cpc&utm_campaign=ROW_FR_Search-nonBrand_broad_2&utm_adgroup=networking-softwares&utm_adnum=171032094950&utm_keyword=%2Bnetworking%20%2Bsoftwares&utm_device=c&utm_position=1t1&utm_campaignid=367571891&utm_adgroupid=26332991411&utm_targetid=kwd-28682313563&utm_customerid=&utm_location=9056139&gclid=EAIaIQobChMIq4u1qpi34AIV4hXTCh2X9QurEAAYASAAEgKuIfD_BwE;https://www.fr.paessler.com/prtg?utm_source=google&utm_medium=cpc&utm_campaign=ROW_FR_Search-nonBrand_broad_2&utm_adgroup=networking-softwares&utm_adnum=171032094950&utm_keyword=%2Bnetworking%20%2Bsoftwares&utm_device=c&utm_position=1t1&utm_campaignid=367571891&utm_adgroupid=26332991411&utm_targetid=kwd-28682313563&utm_customerid=&utm_location=9056139&gclid=EAIaIQobChMIq4u1qpi34AIV4hXTCh2X9QurEAAYASAAEgKuIfD_BwE;0;"http://qulon.pro
";https://buy.advantech.eu/Buy-Online/bymodel-UTX-3117.htm;0;0;0;;
20;1. Capex;1.8 Source 2;Item 2;AlphaNum;0;0;https://www.alibaba.com/product-detail/100W-54V-DC-Power-Supply-ELG_60598044271.html?spm=a2700.galleryofferlist.normalList.2.dec22bf5RDx1Ep&s=p;https://www.indiamart.com/proddetail/auto-street-light-control-panel-12608808348.html;https://www.alibaba.com/product-detail/Mode-2-iec-62196-ev-charging_60638582986.html?spm=a2700.galleryofferlist.normalList.57.1e49473e40gVOq;"https://commercial-energy.en.made-in-china.com/product/XScQLsqAAgpw/China-Remote-Control-Smart-Automatic-Solar-Street-Lighting-System.html
";https://www.alibaba.com/product-detail/RTU-remote-telemetry-unit-street-lights_60546372021.html?spm=a2700.galleryofferlist.normalList.12.7edb21df5YXyqS;https://www.alibaba.com/product-detail/24-channel-1-5U-poe-4k_60745055530.html?spm=a2700.7724857.normalList.13.7f704657ca7iGs&s=p;0;0;http://democracy.cityoflondon.gov.uk/documents/s81815/Appendix%201%20-%20Radio%20Frequency%20Mesh%20Smart%20Cities%20-%20Concepts%20Opportunities.pdf;http://www.cmt-gmbh.de/Produkte/WirelessSensorNetworks/XMESH_Network_Stack.html;https://ieeexplore.ieee.org/document/4400970;0;https://www.bartlettinteractive.com/blog/cost-enterprise-CMS;https://www.monnit.com/Products/Gateways/Ethernet-Gateway/Wireless-Ethernet-Gateways;0;0;0;;
21;1. Capex;1.9 Source 3;Item 2;AlphaNum;0;0;0;0;0;https://info.lightinus.com/solar-street-lights#how_smart_they_can_be_;https://commercial-energy.en.made-in-china.com/product/XScQLsqAAgpw/China-Remote-Control-Smart-Automatic-Solar-Street-Lighting-System.html;0;0;0;https://www.wunderground.com/cat6/purple-airs-250-air-pollution-monitor-gives-government-equipment-run-money;https://doc.informatik.uni-goettingen.de/wiki/images/7/7b/MoteView_Users_Manual_7430-0008-05_A.pdf;http://advantech-bb.com/sensor-networking-cost-model/;0;"https://www.citintelly.com/intelligent-street-lighting-products/street-lighting-control-system/
";https://shop.omnisense.com/g-3-wireless-gateway-with-cellularoptional-wifi-and-ethernet;0;0;0;;
22;1. Capex;1.91 Source 1 - Short;Item 2;AlphaNum;0;0;https://www.made-in-china.com/;https://www.meterboxesdirect.co.uk/;https://www.amazon.com/;https://www.amazon.co.uk/;https://www.amazon.co.uk/;https://www.security-camera-warehouse.com/;0;0;https://www.fr.paessler.com/;https://www.fr.paessler.com/;https://www.fr.paessler.com/;0;http://qulon.pro;https://buy.advantech.eu/;0;0;0;;
23;1. Capex;1.92 Source 2 - Short;Item 2;AlphaNum;0;0;https://www.made-in-china.com/;https://www.indiamart.com/;https://www.alibaba.com/;https://commercial-energy.en.made-in-china.com/;https://www.alibaba.com/;https://www.alibaba.com/;0;0;http://democracy.cityoflondon.gov.uk/;http://www.cmt-gmbh.de/;https://ieeexplore.ieee.org/;0;https://www.bartlettinteractive.com/;https://www.monnit.com/;0;0;0;;
24;1. Capex;1.93 Source 3 - Short;Item 2;AlphaNum;0;0;0;0;0;https://info.lightinus.com/;https://made-in-china.com/;0;0;0;https://www.wunderground.com/;https://doc.informatik.uni-goettingen.de/;http://advantech-bb.com/;0;https://www.citintelly.com/;https://shop.omnisense.com/;0;0;0;;
25;1. Capex;1.1 Name;Item 3;AlphaNum;0;0;0;Box Gateway;0;Battery;0;Monitor/screens;0;0;0;0;0;0;0;Local parking guidance system ;0;0;0;;
26;1. Capex;1.2 Description;Item 3;AlphaNum;0;0;0;It is used to receive information from wireless parking lot sensor and transmit this information to user system;0;The device stores energy for supplying to electrical appliances when there is a demand. ;0;Accessories, options include screens. ;0;0;0;0;0;0;0;Outdoor parking guidance monitors ;0;0;0;;
27;1. Capex;1.3 Unit;Item 3;AlphaNum;0;0;0;Per Data collector;0;Per battery;0;Per monitor;0;0;0;0;0;0;0;Per monitor;0;0;0;;
28;1. Capex;1.4 Ratio # Units / Measure;Item 3;Num #;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;;
29;1. Capex;1.5 Cost / Unit - Min;Item 3;£;0;0;0;280;0;100;0;100;0;0;0;0;0;0;0;20;0;0;0;;
30;1. Capex;1.6 Cost / Unit - Max;Item 3;£;0;0;0;400;0;400;0;140;0;0;0;0;0;0;0;60;0;0;0;;
31;1. Capex;1.7 Source 1;Item 3;AlphaNum;0;0;0;https://buy.advantech.eu/Buy-Online/bymodel-UTX-3117.htm;0;"https://www.alibaba.com/product-detail/1kw-2kw-3kw-4kw-5kw-10kw_919057641.html?spm=a2700.7724838.2017005.6.6c254b77FmCO3R
";0;https://www.ebay.co.uk/itm/Hanns-G-18-5-inch-Flat-Screen-Professional-Monitor-LED-LCD-PC-CCTV-Display-UK/291391010247?epid=1188645162&hash=item43d841f5c7:g:tTIAAOSwpDdU7O0K;0;0;0;0;0;0;0;https://www.alibaba.com/product-detail/customized-7-segment-elevator-display-variable_1318854093.html?spm=a2700.7724838.2017115.151.ea412e94Sw6kMk;0;0;0;;
32;1. Capex;1.8 Source 2;Item 3;AlphaNum;0;0;0;https://www.monnit.com/Products/Gateways/Ethernet-Gateway/Wireless-Ethernet-Gateways;0;https://yzdingxin.en.made-in-china.com/product/CKjExHdJfyVi/China-Used-for-Solar-Street-Light-12V-Lithium-Battery-for-Energy-Storage-System.html;0;https://sztic86.en.made-in-china.com/product/VsFJMKYjpckw/China-22-LCD-Player-Screen-HD-Picture-Display-CCTV-Monitor.html;0;0;0;0;0;0;0;https://tectron88.en.made-in-china.com/product/iKDJnLbuOPcI/China-Rainbow-LED-Display-Parking-Sensor-Boards-Outdoor-LED-Display.html;0;0;0;;
33;1. Capex;1.9 Source 3;Item 3;AlphaNum;0;0;0;https://shop.omnisense.com/g-3-wireless-gateway-with-cellularoptional-wifi-and-ethernet;0;https://mcabattery.en.made-in-china.com/product/YKwEWBSJnHhI/China-Solar-Panel-Battery-Solar-Street-Light-Battery-12V-130ah.html;0;0;0;0;0;0;0;0;0;http://www.ipdisplays.com/parking-garages/;0;0;0;;
34;1. Capex;1.91 Source 1 - Short;Item 3;AlphaNum;0;0;0;https://buy.advantech.eu/;0;https://www.alibaba.com/;0;https://www.ebay.co.uk/;0;0;0;0;0;0;0;https://www.alibaba.com/;0;0;0;;
35;1. Capex;1.92 Source 2 - Short;Item 3;AlphaNum;0;0;0;https://www.monnit.com/;0;https://made-in-china.com/;0;https://sztic86.en.made-in-china.com/;0;0;0;0;0;0;0;https://tectron88.en.made-in-china.com/;0;0;0;;
36;1. Capex;1.93 Source 3 - Short;Item 3;AlphaNum;0;0;0;https://shop.omnisense.com/;0;https://mcabattery.en.made-in-china.com/;0;0;0;0;0;0;0;0;0;http://www.ipdisplays.com/;0;0;0;;
37;1. Capex;1.1 Name;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
38;1. Capex;1.2 Description;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
39;1. Capex;1.3 Unit;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
40;1. Capex;1.4 Ratio # Units / Measure;Item 4;Num #;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
41;1. Capex;1.5 Cost / Unit - Min;Item 4;£;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
42;1. Capex;1.6 Cost / Unit - Max;Item 4;£;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
43;1. Capex;1.7 Source 1;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
44;1. Capex;1.8 Source 2;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
45;1. Capex;1.9 Source 3;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
46;1. Capex;1.91 Source 1 - Short;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
47;1. Capex;1.92 Source 2 - Short;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
48;1. Capex;1.93 Source 3 - Short;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
49;1. Capex;1.1 Name;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
50;1. Capex;1.2 Description;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
51;1. Capex;1.3 Unit;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
52;1. Capex;1.4 Ratio # Units / Measure;Item 5;Num #;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
53;1. Capex;1.5 Cost / Unit - Min;Item 5;£;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
54;1. Capex;1.6 Cost / Unit - Max;Item 5;£;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
55;1. Capex;1.7 Source 1;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
56;1. Capex;1.8 Source 2;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
57;1. Capex;1.9 Source 3;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
58;1. Capex;1.91 Source 1 - Short;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
59;1. Capex;1.92 Source 2 - Short;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
60;1. Capex;1.93 Source 3 - Short;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
61;2. Implementation;2.1 Name;Item 1;AlphaNum;Installation of the Pole;Instllation of smart Lampost;Upgrading of the LED lighting system;Installation of the software;Installation of the charging point;Installation of the panel;Installation of the battery &remote control;Installation of the CCTV system;Installation of the PTT;Installation of the public speakers;Installation of the sensor;Installation of the sensor;Installation of the sensor;Installation of the banner;Installation of the sensor;Installation of the sensor;Installation of the antenna;Installation of the antenna;Installation of the antenna;;
